<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
02/01/19;000000;154.9000000;158.8000000;154.2500000;157.8800000;1621545
03/01/19;000000;143.9800000;145.7100000;142.0000000;142.0850000;3532590
04/01/19;000000;144.4500000;148.5200000;143.8000000;148.2700000;2364907
07/01/19;000000;148.6600000;148.8200000;145.9100000;147.8300000;2671122
08/01/19;000000;149.7400000;151.8000000;148.5300000;150.8000000;1864845
09/01/19;000000;151.5500000;154.5100000;149.6700000;153.3400000;2360624
10/01/19;000000;152.5000000;153.9600000;150.8700000;153.7800000;1539551
11/01/19;000000;152.8800000;153.6700000;151.5150000;152.1600000;1373133
14/01/19;000000;150.9600000;151.2500000;149.2200000;149.9800000;1702529
15/01/19;000000;150.2700000;153.3900000;150.0500000;153.1000000;1410558
16/01/19;000000;153.0500000;155.8600000;153.0000000;154.9000000;1324168
17/01/19;000000;154.2400000;157.6500000;153.2700000;155.8600000;1644952
18/01/19;000000;157.5300000;157.8700000;155.9900000;156.8200000;1474163
22/01/19;000000;156.4100000;156.6900000;152.6800000;153.7000000;1293386
23/01/19;000000;154.0800000;155.1300000;151.7200000;153.9000000;1169072
24/01/19;000000;153.8500000;154.4800000;151.7400000;152.6900000;1295207
25/01/19;000000;155.3000000;158.1300000;154.3200000;157.6900000;1506179
28/01/19;000000;155.7800000;156.3200000;153.6700000;156.3200000;997950
29/01/19;000000;156.2500000;158.1200000;154.1200000;154.6600000;1375082
30/01/19;000000;163.2400000;166.1400000;160.2600000;165.2400000;2690784
31/01/19;000000;166.1100000;169.0000000;164.5700000;166.2800000;1866874
01/02/19;000000;166.9600000;168.9800000;165.9500000;166.5700000;1577981
04/02/19;000000;167.4000000;171.6550000;167.3600000;171.2400000;1736584
05/02/19;000000;172.8600000;175.0800000;172.3600000;174.1100000;1910472
06/02/19;000000;174.8000000;175.5700000;172.8600000;174.2800000;1483647
07/02/19;000000;172.3400000;173.9300000;170.3400000;171.0100000;1923881
08/02/19;000000;168.9000000;170.6400000;168.4400000;170.5100000;1467593
11/02/19;000000;171.1450000;171.1600000;169.2500000;169.4700000;1081411
12/02/19;000000;170.1500000;171.0000000;169.7000000;170.8800000;960145
13/02/19;000000;171.5700000;172.4700000;169.9200000;170.1700000;1084778
14/02/19;000000;169.7000000;171.2600000;169.3900000;170.7900000;1242375
15/02/19;000000;171.2600000;171.7000000;169.7600000;170.3500000;1234921
19/02/19;000000;169.5000000;171.4400000;169.5000000;170.9200000;720892
20/02/19;000000;171.1800000;173.3200000;171.0000000;172.0700000;1131534
21/02/19;000000;171.7600000;172.3500000;170.3100000;171.1300000;1007568
22/02/19;000000;171.3900000;172.9800000;171.3900000;172.9700000;968692
25/02/19;000000;174.2500000;175.8700000;173.9500000;174.2400000;1339516
26/02/19;000000;173.6900000;175.3000000;173.1900000;174.3300000;986144
27/02/19;000000;173.2400000;174.9900000;172.7400000;174.8700000;1072721
28/02/19;000000;174.3200000;174.9000000;172.9200000;173.2800000;1408580
01/03/19;000000;174.3500000;175.1400000;172.8900000;174.8900000;1411913
04/03/19;000000;176.0000000;177.7400000;173.9800000;175.8500000;1928499
05/03/19;000000;175.8900000;175.9400000;174.5500000;175.5200000;1022910
06/03/19;000000;174.6800000;175.4900000;173.9400000;174.5100000;1285160
07/03/19;000000;173.9500000;174.3700000;172.0200000;172.4700000;1612757
08/03/19;000000;170.3200000;173.0500000;169.5000000;172.9300000;1607869
11/03/19;000000;175.6100000;179.1200000;175.3700000;179.0000000;1632102
12/03/19;000000;179.9500000;182.6600000;179.3800000;180.9800000;2247373
13/03/19;000000;182.2900000;183.2300000;180.9200000;181.7000000;1701438
14/03/19;000000;183.9600000;184.0900000;182.5700000;183.7400000;1383101
15/03/19;000000;184.8200000;187.3200000;183.7500000;186.0900000;1806386
18/03/19;000000;185.8300000;188.3800000;185.7900000;188.0500000;1399132
19/03/19;000000;188.4400000;188.9800000;185.9300000;186.5700000;1787215
20/03/19;000000;186.2200000;189.4900000;184.7300000;188.1500000;2149166
21/03/19;000000;190.1100000;196.3200000;189.8100000;195.0100000;2766398
22/03/19;000000;195.3000000;197.6600000;190.7900000;191.0500000;2551458
25/03/19;000000;191.5300000;191.9400000;186.6300000;188.7600000;2501039
26/03/19;000000;191.5700000;192.8800000;184.6000000;186.7800000;2481897
27/03/19;000000;188.7500000;189.7500000;186.6000000;188.4800000;1364658
28/03/19;000000;188.9300000;189.5500000;187.5400000;188.7000000;1331315
29/03/19;000000;189.9700000;190.0100000;188.5500000;189.9400000;1153166
